date,note_id,key,title,read_count,like_count,comment_count
2026-08-24,104247505,n4ea538f6e346,自己紹介　はじめてのnote,1791,853,61
2026-08-24,163591348,n37180fe24b18,🌱はじめての方へ🌱｜このnoteの歩き方✨※6/9,1744,658,108
2026-08-24,171967562,na49a6c116843,🎆 花火より大切な時間2026年✨東京の夏に感じたこと,938,212,55
2026-08-24,172684733,nbdfa14a7573d,✨営業パパさん企画✨クリエイター図鑑やってみました❤️,913,182,47
2026-08-24,171364626,n44a4759d8cb4,📱スマホがなかったあの頃の思い出と今のつながり方✨,908,199,38
2026-08-24,163100991,nb94822e900b5,✨「アウトプット怖い」私がnote100日続けて見つけた変化と感謝😉,895,219,59
2026-08-24,170488382,n92b389bf6a52,✨パパへ贈る歌『一緒に育てよう ～すべてのパパへ～』🎶：昭和と令和の家族の形,895,217,65
2026-08-24,159122181,n50668cb9ac27,🌟自己紹介のつづき③｜頑張ることが😤私の価値だった！海外への憧れから30歳の離婚まで,885,290,21
2026-08-24,168094000,na9be34788a11,✨ 忘れられない群馬の思い出：奥四万湖の静寂と榛名神社⛩️の神秘に触れる旅✨,873,178,43
2026-08-24,170701666,n3d78bf798ea8,✨noteでの出会いに感謝！創作大賞完走と新曲『いつもそばに』✨,841,202,41
2026-08-24,159128026,n19e4efa9007f,🌟自己紹介のつづき⑤｜45歳から人生は再編集できる🌸花とAIとタロットが私の未来を動かした,840,196,47
2026-08-24,166822114,n883747279652,✨未来が不安なあなたへ❤️タロットは「自分を知る」ための鏡だった✨,809,199,28
2026-08-24,160121903,nf01eabb4ca8e,キャラクターの魅力で、AIの世界をぐっと身近にしてくれる✨,802,199,6
2026-08-24,169869532,n6a1225a817bb,✨ChatGPTのヨシダくんのはずが…おばギャ誕生秘話を4コマ漫画で公開⁉️,801,213,25
2026-08-24,171145069,n00cdb7ef39e4,✨「ママ応援企画」大好きなママへ❤️子どもからママへ贈る歌🎶,800,190,36
2026-08-24,162619051,n8897f780eb77,🎵わたしのまま🎵〜このままでいいのかな？って思う人がいたら聞いてみて✨,797,192,43
2026-08-24,163062377,n72ca75ed2264,ハッピーライティングマラソン#52｜「最近、思わず笑ってしまった出来事は？」,796,239,38
2026-08-24,172967843,na9255bda98a3,📕 小説が紡ぐ「自分の意思」の物語✨そして生まれた2つの歌🎶,795,142,26
2026-08-24,175072248,n392180cec50e,🌻第2回スキ動画コンテスト「夏の陣」｜何でそんなものまで？スキ動画✨,795,145,52
2026-08-24,172858690,nf7fce8398017,📕ショートショート|帰り道,794,140,26
2026-08-24,162938612,na5e2199d25d1,💦惜しい失敗作品あれこれ【PolloAIxしろねんコンテスト】💦,783,162,32
2026-08-24,166676609,n8da60030d801,「今日は最悪…」と思った朝が☀️最後には幸せな一日になった話✨,776,217,47
2026-08-24,161670038,naab7527cad75,✨変身ワクワクどこいった？？？🤔,775,205,35
2026-08-24,168203965,ne36d519dba41,🎵〜変化〜🎶音楽創作企画「夏の陣」へ参加✨,775,187,58
2026-08-24,169787803,n1df9439557ed,✨私にとっての「自由」とは🍀,771,204,33
2026-08-24,169843762,n771544dd99ad,✨あの日の選択が今の私を作ったわけじゃない⁉️人生の分岐点と毎日の積み重ね✨,762,205,24
2026-08-24,159484054,n3f0d8e2c1cf4,🌟本田健さんのオススメ作品に選ばれました〜🌟,752,232,25
2026-08-24,162610920,n572ff39fdea7,🎵初夏のきらめき🎵夏の思い出から作った曲、さわりだけでもどうぞ〜💖,749,170,22
