category_primary,article_count,review_count,D1_comparable,D1_avg_PV,D1_avg_like_rate,D1_avg_comment_rate,D7_comparable,D7_avg_PV,D7_avg_like_rate,D7_avg_comment_rate,D30_comparable,D30_avg_PV,D30_avg_like_rate,D30_avg_comment_rate,growth_comparable,late_growth_count,late_growth_rate,analysis_date
AI,10,0,1,603.0,18.57,4.81,1,820.0,19.51,5.85,1,692.0,21.53,4.77,0,0,,2026-09-12
note運営・交流,40,0,1,809.0,19.41,8.78,2,993.5,19.12,8.2,4,741.5,20.6,3.98,0,0,,2026-09-12
アート・文化,3,0,0,,,,0,,,,0,,,,0,0,,2026-09-12
タロット・占星術,5,0,0,,,,0,,,,0,,,,0,0,,2026-09-12
仕事・暮らし,2,0,1,792.0,16.79,4.67,1,961.0,17.27,4.47,0,,,,0,0,,2026-09-12
創作・表現,21,0,0,,,,2,706.0,25.07,4.18,3,753.0,20.14,3.36,0,0,,2026-09-12
家族・人間関係,2,0,1,639.0,18.31,3.91,0,,,,0,,,,0,0,,2026-09-12
旅行・おでかけ,9,0,1,590.0,20.68,3.39,1,786.0,21.25,5.09,1,941.0,22.64,5.84,0,0,,2026-09-12
暮らし・人生,82,0,7,591.1,23.37,4.16,6,744.2,24.75,4.34,6,682.2,26.53,5.08,0,0,,2026-09-12
研究,12,0,3,519.0,23.06,4.37,3,556.3,23.91,4.25,3,705.3,21.46,4.68,0,0,,2026-09-12
花・自然,19,0,1,669.0,25.11,2.09,2,930.0,24.78,3.82,0,,,,0,0,,2026-09-12
要確認,3,3,2,575.0,19.3,4.26,0,,,,0,,,,0,0,,2026-09-12
