axis,value,article_count,review_count,analysis_date
category_primary,AI,10,0,2026-09-07
category_primary,note運営・交流,40,0,2026-09-07
category_primary,アート・文化,3,0,2026-09-07
category_primary,タロット・占星術,5,0,2026-09-07
category_primary,仕事・暮らし,2,0,2026-09-07
category_primary,創作・表現,21,0,2026-09-07
category_primary,家族・人間関係,1,0,2026-09-07
category_primary,旅行・おでかけ,9,0,2026-09-07
category_primary,暮らし・人生,80,0,2026-09-07
category_primary,研究,12,0,2026-09-07
category_primary,花・自然,19,0,2026-09-07
category_primary,要確認,1,1,2026-09-07
content_format,エッセイ,149,1,2026-09-07
content_format,写真,10,0,2026-09-07
content_format,動画,3,0,2026-09-07
content_format,漫画・イラスト,1,0,2026-09-07
content_format,物語,9,0,2026-09-07
content_format,研究レポート,12,0,2026-09-07
content_format,解説・紹介,9,0,2026-09-07
content_format,音楽,10,0,2026-09-07
content_purpose,お題・参加企画,41,0,2026-09-07
content_purpose,告知,6,0,2026-09-07
content_purpose,活動報告,37,0,2026-09-07
content_purpose,通常記事,119,1,2026-09-07
series_name,スキのタネ研究所,6,0,2026-09-07
series_name,ハッピーライティングマラソン,33,0,2026-09-07
series_name,マガジン感謝報告,19,0,2026-09-07
series_name,境界の図書館,2,0,2026-09-07
series_name,時を超える光の約束,4,0,2026-09-07
series_name,自己紹介のつづき,5,0,2026-09-07
series_name,（該当なし）,134,1,2026-09-07
