日付,時刻,フォロワー数
2026-08-24,23:25:48,1841
2026-08-25,23:28:27,1847
2026-08-26,23:26:01,1852
2026-08-29,21:03:04,1887
2026-08-30,21:03:00,1904
2026-08-31,21:03:03,1907
2026-09-01,21:05:38,1912
2026-09-02,21:05:03,1919
2026-09-03,21:05:25,1931
2026-09-04,21:05:06,1934
2026-09-05,21:04:28,1948
2026-09-06,21:04:49,1954
2026-09-07,17:25:12,1957
2026-09-08,21:05:48,1963
2026-09-09,21:05:15,1964
2026-09-10,21:05:32,1965
2026-09-11,21:05:01,1970
2026-09-12,21:04:52,1981
2026-09-13,21:04:52,1986
2026-09-14,21:05:30,1988
2026-09-15,21:05:19,1992
2026-09-16,21:05:06,1993
2026-09-17,21:05:19,1999
2026-09-18,21:04:58,2004
2026-09-19,21:05:23,2005
2026-09-20,21:05:01,2004
2026-09-21,21:04:55,2005
2026-09-22,21:04:54,2004
2026-09-23,21:05:20,2006
2026-09-25,01:08:25,2014
2026-09-26,01:08:40,2018
